"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18063655387761232,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Do Christians have to change their beliefs for trans people to embrace Jesus?

59% of Americans support banning medical transition for minors
60% of Americans say that birth sex determines whether someone is a man or woman
76% of LBGT+ people who've left the faith are open to returning
92% of LGBT+ people said their return wouldn’t depend on a church changing its theology

Both public opinion and research on LGBT+ attitudes toward the Church suggest that Christians don't have to change our beliefs on trans topics for people to choose Jesus.

We just need to share and embody those beliefs in ways that reflect the love of Jesus and lead to genuine thriving for trans people.

We can extend compassion and community to trans people while holding fast to a biblical gender ethic.

Learn how from my latest article in Christianity Today at the link in bio.

Share in the comments which stat gives you the most hope.

#christianitytoday #genderincongruence #genderdysphoria #trans #transgender #genderethics #lgbtqinchrist #pronouns #transition #transgendersupport #transgenderawareness #transgendercommunity",37,"12/06/2024 08:29",https://www.instagram.com/reel/DDPl4dlPPGU/,"IG reel",,Lifetime,7588,4243,239,18,1,7,48
18128333767390002,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Christians, say this (not that) about trans topics

As conversation about trans topics heats up (including recent Supreme Court oral arguments of its first major trans case), what should Christians say about Christ's love and wisdom for trans people?

Instead of saying this...

""Being trans is fake. Or a mental illness. Trans people are predators trying to trick kids into being trans and/or get in restrooms around vulnerable females. Medical transition is a liberal agenda to abuse children and mutilate their genitals. Boys should like the color blue, trucks, and football. Girls should like the color pink, barbies, and ballet. It's as simple as that.""

SAY THIS...

""I believe those who report feeling painful gender incongruence and alienation from their own bodies. I reject baseless allegations that all trans people are predators and dismissive assertions that they’re mentally ill. And while I affirm that God did not intend for anyone to experience gender incongruence, I also affirm that it isn't their fault.

God isn't surprised, and God loves trans people deeply. He made them in his image, died for their salvation, and wants them to follow His wisdom so they can experience fullness of life in him.

God also has a role here for the church. Christians with gender incongruence should not have to hide their experience from siblings in the faith. Our churches must be places where trans people find community in the body of Christ. They should find support to resist the temptation of using hormones or surgery—support that includes pushing back on harmful and reductive gender stereotypes that come from our culture, not the Bible.""

Share in the comments the messages you've heard from one extreme or another in the trans debate.

Then read the rest from my latest article in Christianity Today at the link in bio.

#christianitytoday #genderincongruence #genderdysphoria #trans #transgender #genderethics #lgbtqinchrist #pronouns #transition #transgendersupport #transgenderawareness #transgendercommunity",0,"12/05/2024 08:54",https://www.instagram.com/p/DDNECejR38P/,"IG carousel",,Lifetime,7496,2749,259,27,1,10,94
18322042945083965,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","The 2000s gay marriage debates taught us a painful lesson: harsh rhetoric and culture war tactics turn people away from Jesus.

Now, as trans topics dominate public discourse (including recent Supreme Court oral arguments of its first major trans case), Christians have an opportunity to approach these conversations differently—with both Christ’s love and biblical wisdom.

Will we learn from our mistakes? My latest article in Christianity Today explores how we can make conversations about trans issues a bridge to the gospel instead of a barrier.

Link in bio.

#christianitytoday #genderincongruence #genderdysphoria #trans #transgender #genderethics #lgbtqinchrist #pronouns #transition #transgendersupport #transgenderawareness #transgendercommunity",27,"12/04/2024 12:33",https://www.instagram.com/reel/DDK4L3HP7G-/,"IG reel",,Lifetime,3764,2193,76,6,4,2,23
18074940175717785,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Your response to trans issues can point people to Jesus—here’s how.

As the Supreme Court hears its first major trans case, what if Christians prepared ourselves for dialogue about trans topics? 

What if we could share Christ's love and wisdom for trans people in ways that are a bridge to the gospel, rather than a barrier?

Checkout my latest in Christianity Today...

""Americans have already heard from the extremes: Non-Christians have heard prominent Christians say that being trans is either fake or a mental illness, something to be debunked, condemned, and stigmatized.

On the other extreme, trans advocates chant 'transition or suicide', even for minors, despite consistent research summarized in the Cass Review revealing that medical transition has not been demonstrated to reliably reduce depression or suicidality.

Believers can and must push back against both transphobia and the idol of self-invention. We must answer our neighbors’ genuine cultural and ethical questions in ways that are biblically robust, intellectually satisfying, and aligned with scientific evidence.

That looks like believing those who report feeling painful gender incongruence and alienation from their own bodies. We should reject baseless allegations that all trans people are predators and dismissive assertions that they’re mentally ill.

And while we affirm that God did not intend for anyone to experience gender incongruence, we should also affirm that it isn't their fault. God isn't surprised, and God loves trans people deeply. He made them in his image, died for their salvation, and wants them to follow His wisdom so they can experience fullness of life in him.

God also has a role for the church. Christians with gender incongruence shouldn’t have to hide their experience from siblings in the faith. Our churches must be places where trans people find community in the body of Christ. They should find support to resist the temptation of using hormones or surgery—support that includes pushing back on harmful, culturally-constructed gender stereotypes""

Share in the comments what questions/comments about trans topics you feel unprepared to respond to.",0,"12/04/2024 08:26",https://www.instagram.com/p/DDKcB-nvkKP/,"IG carousel",,Lifetime,7964,3624,284,45,6,17,91
18076389172580071,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Are you anxious about trans debates at the Thanksgiving table?

As Thanksgiving approaches and trans topics continue to cycle through our social media feeds, many worry whether the topic will come up in holiday discussions.

We fear that family conversation about trans rights might become tense or hurtful, we might be misunderstood, and relationships might be strained.

But there’s a way to bring both grace and truth to the table. What if we listened first, making space for our family members’ real experiences and struggles?

And, instead of jumping to debate, what if we shared about God's love and wisdom for trans people, honoring their stories as image-bearers while standing by our beliefs?

Thanksgiving is an opportunity to avoid old mistakes, to model a different kind of love, and to invite a conversation where everyone feels valued.

This season, let’s bring a spirit of empathy and a heart full of hope into every moment at the table.

Equip recently added a webinar to their Digital Leader's Course exploring how Christians can balance holding firm convictions with Christ-like compassion for trans individuals and their loved ones.

DM me for the link to read the transcript and/or get access to full video+notes as part of Equip’s Digital Leader’s Course!",80,"11/26/2024 15:15",https://www.instagram.com/reel/DC2kd5JJSak/,"IG reel",,Lifetime,2448,1595,55,3,1,1,7
18016868498361323,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Gay Christians following God’s wisdom need your help

I just finished teaching at a Bible College in Canada.

Our big question was whether God's wisdom was actually good for gay people. During the Q&A, a woman raised her hand. She stumbled with her words a bit, although I could tell she was trying to ask a question about translation controversies in the New Testament.

Then she shared why this matters:

""You see, I'm actually a part of the LGBT+ community. And I'm a Christian. And I'm committed to biblical sexual ethics. But I've got a lot of friends who disagree with biblical sexual ethics or aren't Christians at all anymore. They argue with me a lot, and I know in my bones what's true and what I believe, but sometimes when they gang up on me, it feels like I need even better answers to keep standing.""

Parents and pastors, I want you to hear this story, because I want you to know that despite the cultural shifts you sometimes fear will make Jesus irrelevant, the Holy Spirit continues to reach the next generation and convince them of God's wisdom.

And they need your help.

The Holy Spirit wants you to come alongside them so they don't have to stand alone.

By teaching classes like this college class in Canada and doing everything else that Equip does, Equip is helping Christians better love LGBT+ people according to God's wisdom.

If your family or your church wants to learn how to do this better, feel free to DM me to learn more about how Equip can come alongside you.

And if you've been praying for the work of Equip or supporting us financially, THANK YOU! That woman who raised her hand found more confidence today because you've been sending us out to equip God's people.

Thank you :)",110,"11/21/2024 08:29",https://www.instagram.com/reel/DCo9yZzJDU1/,"IG reel",,Lifetime,2861,1646,110,8,4,5,14
18046964996506876,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Marriage won’t fix your sex addiction. It just entangles spouses and kids.

Have families in your church or community been painfully impacted by untreated sexual addiction because someone was encouraged to use marriage as the solution?

Some Christians even quote “...it’s better to marry than to burn…” from 1 Corinthians 7:9 to support that suggestion.

The problem?

That’s not what 1 Cor 7:9 says, and marriage-as-remedy-for-weakness ultimately leads to spouses and kids getting unwittingly trapped in destructive cycles of sexual addiction.

Spouses are mistreated and hurt by infidelity. Children grow up in broken households.

Plus, trusted theologians agree that 1 Cor 7:9 is NOT suggesting that Christians who struggle with singleness are automatically offered the gift of marriage.

Instead, those theologians read 1 Cor 7:9 to discourage making a public, lifetime commitment to vocational singleness without the gift of singleness.

DM me for the link to my article in Fathom Mag offering hope to those “burning with passion”",20,"11/19/2024 09:27",https://www.instagram.com/reel/DCj7Hydvl1o/,"IG reel",,Lifetime,4962,2601,104,15,,8,20
18045480989079483,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Singles have a unique calling. Is your church ignoring it?

Have you ever heard your church teach about a calling to singleness? Do longterm singles in your church feel like the only options are to make sense of the future alone or just get married?

Here’s five ways churches can better support singles: 

1. Teach what Jesus and Paul actually said about a lifetime calling to celibate singleness for the sake of kingdom work with undivided attention.

2. Value vocational singleness in your church. Hire single people as head ministers, preaching pastors and worship leaders. Make single people visible to the whole congregation. 

3. Celebrate the commitments of vocational singles and their kingdom work as much as weddings and children. Married people are honored at every step from engagement to baptisms. Let’s honor the milestones of singles.

4. Guide young adults to open-handedly discern between vocational singleness and Christian marriage. Help the next generation ask God which gift He wants to give, and help them receive God’s gift with joy.

5. Help vocational singles build lifelong, lived-in human family. Gather singles in your church, help them cast vision for intentional Christian community, and coach them as they build the family they need. 

Has your church struggled to know how to support vocational singleness?

DM me for the link to a video article exploring these and more!",57,"11/14/2024 09:17",https://www.instagram.com/reel/DCXB-Y-phW1/,"IG reel",,Lifetime,3962,2700,98,11,,3,23
18018482042631559,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","You might have picked these up from Disney, your church, or something in between. Chances are, you’ve been sold these myths about romance:

Myth #1 - Romance will fulfill you.

Many have come to believe that romantic relationship is the key to fulfillment. But idolizing romance creates unrealistic expectations that a partner will satisfy all our deepest needs, leading to disappointment and heartache.

Deeper and healthier fulfillment comes from cultivating our relationship with God, intimate friendships, and yes, romantic relationships if we’re called to Christian marriage.

Myth #2 - Marriage is the ultimate goal.

While you may have been taught that in order to become a fully-adult Christian you have to get married, marriage is just one meaningful life path. 

Christians can broaden the possibilities they teach the kids in their churches by modeling and building healthy anticipation for both vocational singleness and Christian marriage.

Myth #3 - You can’t be truly happy without a romantic partner.

Romcoms and fairytales lead us to believe that romantic love is the ultimate source of happiness. Unfortunately, this mindset overlooks the rich, fulfilling lives of single people.

True joy comes from God. If you lean into depending less on romance, you might experience freedom to form deeper, intentional bonds with greater community. 

Myth #4 - Marriage and God are all you need for intimacy.

While a relationship with God and a spouse are important, even healthy marriages need friendships and community.

Intimacy is multifaceted, and Scripture shows us that God’s followers thrived in community wider than a nuclear family.

Myth #5 - Singleness is second-best.

Singleness is often viewed as a temporary stage or a fallback option. However, God designed vocational singleness to be a lifelong, first-choice calling for some with kingdom purpose.

God’s intention is for vocational singles to enjoy just as much lifelong, lived-in family as marrieds.

Maybe you or your church has bought into these myths—

DM for the link to a recent article about right-sizing our expectations about romance and alternatives that offer deep, lasting connection",14,"11/12/2024 08:52",https://www.instagram.com/reel/DCR0bbaPjFp/,"IG reel",,Lifetime,2986,1582,66,8,,0,10
18044805311484035,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Does sexual abuse make people gay?

Someone asks me that question almost every time I do a Q&A at a church. The short answer is ""no""

There isn't any scientific evidence to suggest that sexual abuse makes people gay.

A lot of the sexual abuse survivors I know who are also gay Christians can't seem to shake that question.

They seem to struggle deeply with asking themselves:

""Would I still be gay if I hadn't been abused? Were my same-sex attractions preventable?""

Painfully, this leads to victim-blaming for a lot of those folks. They beat themselves up for not doing more to stop the abuse, because maybe it would have also prevented them from being gay.

I've noticed these survivors seem to see their same-sex attractions as more tragic and feel like they’re more fundamentally doomed to a life of misery.

Maybe another way of putting it is that my gay friends who aren't abuse survivors seem to have an easier time believing that they still have a chance at a good life.

But survivors often believe that they're hopelessly cursed.

If you're gay, Christian, and an abuse survivor who is burdened with these questions, first, let me say how common your curiosities are in light of the tragedy you've endured.

It wasn't your fault, no matter how much you resisted.

And still, without really being able to know what would be different if your community had properly protected you from your abuser, it makes sense that it's hard to shake the fear that all of this could have been prevented and now you're doomed in some way.

But could I invite you to try on the idea that there's no evidence that sexual abuse causes same-sex attractions because, well, they don't.

Just imagine for me for a second, if you knew with certainty, that even if you hadn't been abused, you'd still be gay today, does anything shift for you?

If you knew that were true, without a doubt, would it feel easier to hope and invest in that hope?

And what if you leaned into that, even as you carry some of those lingering doubts?",189,"11/07/2024 08:56",https://www.instagram.com/reel/DCE9vxapuL0/,"IG reel",,Lifetime,3464,1998,70,6,,6,19
18467428642063286,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Happy 40th to a dear friend and brother :)

Forrest, you're one of the most resilient and dependable people I know. As I've told you many times, among the people I know, I think you've endured some of the most difficult circumstances, and yet you continue to serve the Lord and love people deeply.

Even though you're sorely underpaid, you continue in full-time ministry sharing the gospel every day. With little help from extended family, you've single-handedly helped your parents transition from independent-living.

You always strive to give people the benefit of the doubt and understand them and believe the best in people. You're caring and attentive, particularly to make sure no one is hurt or left out.

I can always depend on you to be patient and thoughtful :)

I treasure our solo adventures to Braves games, shared love of hot tubs at mountain cabins, and the Christmas you spent with my biofam.

Happy 40th Birthday, Forrest!

Here's to another 40 years of adventures :)",0,"11/05/2024 08:04",https://www.instagram.com/p/DB_ugSWPjdV/,"IG carousel",,Lifetime,4074,2474,214,8,1,2,3
18285892525215136,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","halloween with my godson's family. the theme was beauty and the beast.

so obviously, i was lefou",0,"11/01/2024 08:27",https://www.instagram.com/p/DB1XBo4vs50/,"IG carousel",,Lifetime,5768,2867,306,0,,9,1
18050748295771054,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","This #1 challenge for gays in churches also hurts straight people

LGBT+ people in the Church feel the weight of this first, but the truth is, romance idolatry is hurting everyone. Many churches push romance as the cure for loneliness, leaving gay celibate Christians particularly empty-handed.
 
But here’s the good news for you: if we’re all struggling with this same challenge, we can all share in the solution.

What if, instead of making romance, marriage, or sex the answer, your church became a place where you could find real belonging and companionship—no matter your relationship status?

What if you could experience intentional Christian community, where you can build a family that isn’t based on marriage, but on Christ?

Imagine a church that helped you flourish, whether you’re called to vocational singleness or Christian marriage! What if they offered practical support to help you thrive in whichever path God has called you to?!",52,"10/31/2024 08:38",https://www.instagram.com/reel/DByzdvkpA47/,"IG reel",,Lifetime,3035,1723,92,8,1,4,19
18359076277188910,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Have you ever thought, ""I’d be loved if I looked better""? Here’s the truth.

My own experience has been that no matter how skinny I get or how much muscle I put on or how perfect my haircut is—no matter what changes about my appearance, it's never been enough.

I experience the same loneliness, not-enough-ness, and shame. Anecdotally, the same has been true for the gay men and straight women in my life who've shared with me about their body shame.

Why? No amount of beauty can protect us from loneliness.
 
Take a closer look at some common lies:

""If you looked like the perfect-looking guys in pornography, you'd be loved. You wouldn't feel alone. You're lonely because you don't look like the guys in videos. It's your fault. You have no one to blame but yourself.""
 
Do you notice how that the core need at play isn't to be handsome or beautiful? Or even desired?

It's to not be alone.

It's to be connected in healthy ways and believe we are enough. We can't kick body shame by working out or dieting more because those aren't addressing the real problem. It's a lie, a false solution, that keeps us running on a hamster wheel.

DM me for the link to the rest of this video on gay male body shame",63,"10/29/2024 08:50",https://www.instagram.com/reel/DBtrQXwp5FE/,"IG reel",,Lifetime,3202,2141,98,7,6,4,25
